collection,stream,timestamp,cdx,crawl-logs,dlx,logs,unknown,viral,warcs,warcs-invalid
0_original,None,2016,,,,,146514,,,
0_original,None,2017,,,,,1028,,,
1_data,None,2014,,,,,4,,,
1_data,None,2015,,,,,25,,,
1_data,None,2016,,,,,349,,,
1_data,None,2017,,,,,9,,,
1_data,None,2018,,,,,313,,,
1_data,None,2019,,,,,10706,,,
1_data,None,2020,,,,,420,,,
2_backups,None,2017,,,,,162,,,
2_backups,None,2018,,,,,413,,,
2_backups,None,2019,,,,,866259,,,
2_backups,None,2020,,,,,418893,,,
9_processing,None,2016,,,,,1738,,,
9_processing,None,2017,,,,,24,,,
9_processing,None,2018,,,,,12579,,,
9_processing,None,2019,,,,,13110,,,
9_processing,None,2020,,,,,984,,,
blit,None,2016,,,,,230,,,
blit,None,2017,,,,,405,,,
blit,None,2018,,,,,86,,,
blit,None,2019,,,,,51,,,
crawls,None,2012,,,,,16,,,
data,selective,2011,,,,,125,,,
data,selective,2012,,,,,62,,,
data,selective,2014,,,,,4173,,,
data,selective,2017,,,,,1,,,
data,selective,2019,,,,,2,,,
datasets,None,2014,,,,,18,,,
datasets,None,2017,,,,,2219,,,
heritrix,None,2013,,,,,261,,,
heritrix,None,2014,,,,,8506,,,
heritrix,None,2015,,,,,7481,,,
heritrix,None,2016,,,,,871,,,
heritrix,None,2017,,,,,2841,,,
heritrix,None,2019,,,,,4872,,,
ia,None,2011,,,,,884220,,,
ia,None,2012,,,,,56714,,,
ia,None,2014,,,,,203502,,,
ia,None,2017,,,,,11,,,
logs,None,2014,,,,,2735,,,
logs,None,2015,,,,,1939,,,
logs,None,2016,,,,,1171,,,
logs,None,2017,,,,,1405,,,
logs,None,2018,,,,,1493,,,
logs,None,2019,,,,,8868,,,
logs,None,2020,,,,,863,,,
lvdata,None,2011,,,,,18,,,
lvdata,None,2015,,,,,12,,,
lvdata,None,2016,,,,,2,,,
lvdata,None,2017,,,,,43,,,
lvdata,None,2018,,,,,25,,,
lvdata,None,2019,,,,,72,,,
npld,domain,2013,,9,,4,,10,33102,
npld,domain,2014,,,,50,,228,61196,
npld,domain,2015,,109,,9,,199,74237,
npld,domain,2016,,587,,2725,,237,102141,
npld,domain,2017,,254,,1516,,154,76079,
npld,domain,2018,,2109,,,,445,59420,
npld,domain,2019,,451,,,,139,70727,
npld,domain,2020,,9,,,,4,,
npld,frequent,2013,,,,173,,17,6581,
npld,frequent,2014,,,,4830,,11,15787,
npld,frequent,2015,,,,1806,,36,18635,
npld,frequent,2016,,92,,780,,125,27212,
npld,frequent,2017,,18035,,102704,,346,40397,70
npld,frequent,2018,,5768,,34948,,707,71285,99
npld,frequent,2019,,4924,,25492,,1152,109693,
npld,frequent,2020,,409,,2062,,14,8655,
npld,webrecorder,2016,,,,,,,6,
npld,webrecorder,2019,,,,,,,97,
npld,webrecorder,2020,,,,,,,1,
selective,selective,2010,,50,5076,42,5032,,5078,
selective,selective,2011,,30896,141666,30718,65920,,121927,33
selective,selective,2012,14581,11337,53229,12150,22681,,51356,
selective,selective,2013,49866,9853,49891,11370,20212,,49994,
selective,selective,2014,29058,5065,29067,6108,10139,,29058,
selective,selective,2015,27650,7945,29820,9537,16147,,30081,
selective,selective,2016,5227,1372,4946,1931,2780,,5224,
tmp,None,2010,,,,,1815,,,
tmp,None,2011,,,,,13929,,,
tmp,None,2012,,,,,1164,,,
tmp,None,2013,,,,,3291,,,
tmp,None,2014,,,,,5679,,,
tmp,None,2015,,,,,6348,,,
tmp,None,2016,,,,,3230,,,
tmp,None,2017,,,,,61,,,
tmp,None,2018,,,,,156,,,
tmp,None,2019,,,,,327,,,
tmp,None,2020,,,,,48,,,
user,None,2015,,,,,1456,,,
user,None,2016,,,,,19338,,,
user,None,2017,,,,,34525,,,
user,None,2018,,,,,8170,,,
user,None,2019,,,,,12971,,,
user,None,2020,,,,,1456,,,
wap,None,2010,,,,,34,,,
wayback,None,2015,,,,,789,,,
wayback,None,2016,,,,,104,,,
