collection,stream,timestamp,cdx,crawl-logs,dlx,logs,unknown,viral,warcs,warcs-invalid
None,None,2010,,,,,108770612674,,,
None,None,2011,,,,,31288238448618,,,
None,None,2012,,,,,4072363774843,,,
None,None,2013,,,,,171646999388,,,
None,None,2014,,,,,35145087057635,,,
None,None,2015,,,,,13750648448869,,,
None,None,2016,,,,,18052488767955,,,
None,None,2017,,,,,1064281402537,,,
None,None,2018,,,,,59372336492002,,,
None,None,2019,,,,,24967834692,,,
npld,domain,2013,,497880630017,,225807897946,,4378472582,33902836541889,
npld,domain,2014,,235613102166,,3183587582858,,5040997257,62133135017950,
npld,domain,2015,,224102685408,,235594713592,,4523729793,75488235762146,
npld,domain,2016,,848714666963,,699515229761,,8596035584,103798783257500,
npld,domain,2017,,776208000016,,604356588230,,3748581332,76973045845589,
npld,frequent,2013,,178719515,,34170220713,,99041071,5246067047752,
npld,frequent,2014,,60644013127,,142972193208,,34269049,9687626781426,
npld,frequent,2015,,72843097116,,121349205548,,271945467,14373619995411,
npld,frequent,2016,,263672719517,,4005039942913,,2184787931,26691147872029,4142513147
npld,frequent,2017,,576931142978,,634912245288,,105172774,25776771440367,25543843150
npld,frequent,2018,,1277875133573,,1594988531353,,255129833,57101550068106,1417638357
npld,frequent,2019,,213058233711,,310974841202,,9762087,7916989550362,
selective,selective,2010,,16174178,14852340758,1466992,87516346638,,889691193222,
selective,selective,2011,,70177720850,114203699462,7627959672,55165225240,,9682572380858,96736608
selective,selective,2012,8597134205,29180359746,42420273550,5782744821,960121658,,5126476552554,
selective,selective,2013,32234715695,30828782244,39798000486,7371246183,343710799,,4944394041969,
selective,selective,2014,20844001981,17389874737,24449401822,4919485664,181445191,,3122414823039,
selective,selective,2015,14243250050,15662303216,20358418164,5676141494,255820890,,2259050467116,
selective,selective,2016,2430183563,2211062877,3181261947,1110765359,44371755,,391490414932,
